code,area,price
11110101,606.2862069,4114862.069
11110102,169.7928571,4551678.571
11110103,341.9666667,5358333.333
11110104,307.0666667,5751666.667
11110105,120.35,6749500
11110106,173.9666667,7642916.667
11110107,900.425,15251875
11110108,170.1214286,7663928.571
11110109,121.1625,4643125
11110110,114.3909091,6451818.182
11110111,1459.328,5223800
11110112,202.6076923,8073461.538
11110113,149.54,7295250
11110114,114.28,10469500
11110115,1265.707692,4787269.231
11110116,3291.9,26650000
11110117,1133.99,25605000
11110118,2561.966667,13440833.33
11110119,1748.1,45766666.67
11110120,1624.2375,32306250
11110121,1219.211765,8468529.412
11110122,2299.346154,32575769.23
11110123,2903.48,53480000
11110124,1540.083333,14900416.67
11110125,3941.533333,23950000
11110126,1463.6,64400000
11110127,1969.84,22180000
11110128,271.3291667,16552916.67
11110129,319.8333333,13043333.33
11110130,222.69375,7907125
11110131,121.35,5144166.667
11110132,616.3545455,7381363.636
11110133,164.9473684,8217631.579
11110134,243.5222222,10957777.78
11110135,240.1740741,29722222.22
11110136,287.8892857,21780178.57
11110137,264.0576923,13664230.77
11110138,177.1266667,54100000
11110139,142.5909091,8634545.455
11110140,398.5108108,6815905.405
11110141,209.0416667,9580000
11110142,181.0272727,9528636.364
11110143,141.9416667,7909166.667
11110144,228.4125,10122500
11110145,6229.3,5965000
11110146,230.0533333,6835666.667
11110147,163.1222222,9858333.333
11110148,882.976,6619000
11110149,135.325,4910416.667
11110150,182799.9,1060000
11110151,124.19375,16873125
11110152,132.47,10295250
11110153,111.9333333,9218333.333
11110154,168.5290323,16530161.29
11110155,170.6217391,16499347.83
11110156,147.3411765,34750000
11110157,620.3769231,9072692.308
11110158,88.55405405,16181351.35
11110159,170.5176471,5971176.471
11110160,258.0478261,7034130.435
11110161,116.1285714,23050000
11110162,188.3321429,8468928.571
11110163,120.3693878,17932448.98
11110164,149.8121212,9849393.939
11110165,642.7653846,5585000
11110166,447.99,6765000
11110167,116.1591837,5629387.755
11110168,257.3666667,8160261.905
11110169,246.7230769,6890641.026
11110170,249.1586207,5259310.345
11110171,146.4565217,10228913.04
11110172,201.18,9468500
11110173,153.5043478,3600543.478
11110174,402.7296703,5939697.802
11110175,191.8140625,5561406.25
11110176,329.5333333,13616666.67
11110177,8456.9,15075000
11110179,13801.15,7855000
11110180,98.2,7530000
11110181,115.92,3144333.333
11110182,1054.56,2564690
11110183,1159.658654,2806274.038
11110184,1014.926471,1903522.059
11110185,475.25,2404333.333
11110186,1056.076923,2901115.385
11110187,993.9357143,4807928.571
11140101,1211.96,40540000
11140102,743.25,33407142.86
11140103,936.6285714,27878571.43
11140104,2149.766667,58916666.67
11140105,1542.442105,41544736.84
11140106,63.5,44350000
11140107,1324.3,37800000
11140108,8365.4,48600000
11140110,752.1777778,23050000
11140111,3259.455556,35616666.67
11140112,159.386,16300100
11140113,152.31,15189000
11140114,1257.453333,32870000
11140115,363.5,70333333.33
11140116,128,31200000
11140117,299.6333333,25433333.33
11140118,1894.503571,19011250
11140119,701.0571429,15766428.57
11140121,436.484,9205000
11140122,838.4928571,10858928.57
11140123,420.625,11437500
11140124,390.7833333,84091666.67
11140125,229.9,49786363.64
11140126,467.35,58539285.71
11140127,191.976,79544000
11140128,136.7416667,10420416.67
11140129,212.2380952,6525476.19
11140130,94.95,8041250
11140131,736.05,29625000
11140132,306.032,12983200
11140133,381.5294118,11119705.88
11140134,94.30357143,10683571.43
11140135,139.7444444,11093888.89
11140136,205.0227273,6826363.636
11140137,228.1333333,10262083.33
11140138,445.1032258,7753387.097
11140139,250.3173913,6344347.826
11140140,289.85,7821250
11140141,172.3666667,6920000
11140142,396.4333333,4320361.111
11140143,366.1259259,6559074.074
11140144,5367.74902,5926862.745
11140145,120.0565217,10805869.57
11140146,95.16956522,7545217.391
11140147,311.2677419,7900161.29
11140148,912.944,15932000
11140149,4832.927273,11154545.45
11140150,692.685,15645250
11140151,134.4947368,12278684.21
11140152,124.6740741,12571296.3
11140153,73.65714286,13455357.14
11140154,128.6090909,9232878.788
11140155,159.3128205,16249615.38
11140156,117.7733333,14638000
11140157,84.22272727,13387500
11140158,132.3333333,14793333.33
11140159,526.5857143,14783571.43
11140160,106.4809524,11094761.9
11140161,216.625,17507500
11140162,751.4028653,6224246.418
11140163,179.8117647,9485588.235
11140164,143.9428571,9380000
11140165,575.2393939,7418434.343
11140166,1329.8,21776764.71
11140167,2513.59,8539000
11140168,2235.988889,13501666.67
11140169,1129.55,17500000
11140170,4860.366667,17433333.33
11140171,479.1604167,7037291.667
11140172,26.45,8720000
11140173,931.9714286,6794642.857
